"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"KASBA ","19425","Maroc","Casablanca-Settat (MA)","HUB_SETTAT","19425"
"KASSARAT  ","19427","Maroc","Fès-Meknès (MA)","HUB_FES","19427"
"KASSITA  ","19428","Maroc","L'Oriental (MA)","HUB_NADOR","19428"
"KELAAT M'GOUNA  ","19429","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19429"
"KENITRA  ","19430","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19430"
"KHEMIS AIT YADDINE  ","19431","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19431"
"KHEMIS NKHEILA  ","19432","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19432"
"KHEMIS SIDI YAHIA  ","19433","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19433"
"KHENICHET  ","19434","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19434"
"KHENIFRA  ","19435","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19435"
"KHENISHAT  ","19436","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19436"
"KHLALFA  ","19437","Maroc","Fès-Meknès (MA)","HUB_FES","19437"
"KHMIS ANJRA  ","19438","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19438"
"KHMIS D MDIK  ","19439","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19439"
"KHNISS AIT WAHI  ","19440","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19440"
"khouribga","19442","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19442"
"KSAR LKBIR","19441","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19441"
"KSAR EL SGHIR  ","19443","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19443"
"LAATAWIA  ","19444","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19444"
"LAAYOUNE​","19446","Maroc","Laâyoune-Sakia El Hamra (MA)","HUB_LAAYOUNE","19446"
"LAAYOUNE CHARKIA​","19445","Maroc","L'Oriental (MA)","HUB_OUJDA","19445"
"LAKBAB  ","19447","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19447"
"LAKHERACHEFA  ","19448","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19448"
"LAKHSAS​","19449","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19449"
"LAKSIBA  ","19450","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19450"
"LALLA MIMOUNA  ","19451","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19451"
"LALLA MIMOUNA  ","19452","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19452"
"LAMNAKRA EL HADDADA  ","19453","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19453"
"LAMRISS​","19454","Maroc","L'Oriental (MA)","HUB_OUJDA","19454"
"LARACHE  ","19455","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19455"
"LARBAA AYACHA  ","19456","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19456"
"LEGZIRA​","19457","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19457"
"LEKHMISSAT  ","19458","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19458"
"LEMRIJA​","19459","Maroc","L'Oriental (MA)","HUB_OUJDA","19459"
"LGARA  ","19460","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19460"
"LHAD RAS L3IN  ","19461","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19461"
"LOUDAYA  ","19462","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19462"
"LOULJA  ","19463","Maroc","Fès-Meknès (MA)","HUB_FES","19463"
